FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Joshua,King,MID,BOU,5300000,2,46,2.9,5.47169811320755e-07,8.679245283018871e-06,0,53283,1,22,0,0,0,2,0,8.5,2181,-2,1,46,2,0.3,0,1.8,2,0,4,0,1,0.6,48049,0,321,0,0,1141,509,-1,0,125,Chelsea,Swansea,Arsenal,Hull City,Watford,1.4,1.8,2.0,1.8,3.4,2.6,1.6,2.3,1.7,1.9,2.8,3.0,1.5,1.4,2.3,1.4,3.0,2.4,2.7,3.7,1.9
Stephen,Kingsley,DEF,SWA,4000000,0,19,0.3725490196078429,9.31372549019608e-08,4.75e-06,0,320394,0,9,0,0,0,0,0,4.6,18879,0,1,19,0,0.0,0,0.0,2,0,2,0,0,10.8,526982,0,75,0,1,585,4713,-1,0,113,West Ham,Bournemouth,Crystal Palace,Arsenal,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jan,Kirchhoff,MID,SUN,4300000,0,12,0.23529411764705901,5.47195622435021e-08,2.7906976744186e-06,0,3025,1,11,0,0,0,0,0,2.8,196,-2,0,12,2,0.3,0,1.2,0,0,0,0,1,0.0,1399,0,118,0,0,433,17,0,0,61,Man Utd,Burnley,Liverpool,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ragnar,Klavan,DEF,LIV,4600000,9,21,3.0,6.52173913043478e-07,4.56521739130435e-06,0,38670,0,6,0,0,0,0,0,4.6,380,-4,0,21,4,0.7,0,3.2,3,0,2,0,0,0.6,13845,0,0,0,0,496,5091,0,0,125,Stoke,Man City,Sunderland,Man Utd,Swansea,4.0,3.1,2.1,2.0,3.2,2.9,2.9,3.8,1.6,4.2,3.8,2.6,3.4,4.0,3.6,2.8,3.2,2.5,4.0,3.5,3.1
Aleksandar,Kolarov,DEF,MCI,5800000,2,44,2.8,4.827586206896551e-07,7.58620689655172e-06,0,130925,4,18,0,0,0,1,0,7.6,3180,-2,0,44,2,0.8,0,4.4,2,0,3,0,1,3.7,62170,1,429,0,1,1382,5147,0,0,266,Hull City,Liverpool,Burnley,Everton,Tottenham,2.8,3.0,3.3,2.2,3.3,3.4,2.8,2.5,2.1,2.0,3.5,3.5,3.7,2.2,3.2,2.8,2.9,2.5,2.8,2.6,2.4
Vincent,Kompany,DEF,MCI,5900000,0,3,0.0588235294117647,9.97008973080758e-09,5.084745762711859e-07,0,17844,1,1,0,0,0,0,0,0.5,287,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.4,5121,0,173,0,0,114,82,0,0,13,Hull City,Liverpool,Burnley,Everton,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arouna,Kone,FWD,EVE,5100000,0,3,0.0588235294117647,1.1534025374855801e-08,5.882352941176471e-07,0,65429,0,0,0,0,0,0,0,0.6,609,-4,0,3,4,0.0,0,0.0,0,0,0,0,0,0.8,13422,0,289,0,0,46,334,0,0,9,Leicester,Hull City,Southampton,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamine,Kone,DEF,SUN,4400000,6,30,2.0,4.54545454545455e-07,6.81818181818182e-06,0,68292,1,24,0,0,0,0,0,6.8,1119,-1,0,30,1,0.5,0,2.2,0,0,2,0,0,1.1,20504,0,176,0,0,1350,1181,0,0,220,Man Utd,Burnley,Liverpool,Stoke,West Brom,1.0,1.0,2.4,2.4,1.3,2.2,1.4,2.4,1.0,1.8,1.2,2.3,1.1,1.0,1.4,2.8,2.3,2.4,1.4,1.8,1.0
Dimitrios,Konstantopoulos,GLK,MID,4200000,0,0,0.0,0.0,0.0,0,5563,0,0,0,0,0,0,0,0.0,93,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,529,0,0,0,0,0,26,0,0,0,Burnley,Man Utd,Leicester,Watford,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurent,Koscielny,DEF,ARS,6400000,1,62,3.9,6.09375e-07,9.6875e-06,0,331666,3,15,0,0,0,2,0,9.7,40844,4,0,62,-4,0.2,0,1.2,8,0,4,0,0,18.3,752254,0,493,0,2,1440,3995,0,0,358,West Brom,Crystal Palace,Bournemouth,Swansea,Burnley,4.6,4.5,4.2,3.9,5.2,4.7,3.8,5.0,4.6,4.9,4.1,4.4,4.3,5.6,4.7,4.2,4.5,4.0,3.5,5.2,4.7
Cheikhou,Kouyate,MID,WHU,5100000,3,34,2.3,4.509803921568629e-07,6.66666666666667e-06,0,83906,1,24,0,0,0,0,0,6.7,722,-4,0,34,4,0.3,0,1.6,0,0,5,0,0,0.9,19108,0,498,0,0,1350,418,0,0,201,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,1.4,1.4,2.0,1.7,1.5,1.5,1.2,1.8,1.5,1.5,1.2,2.7,1.3,1.2,2.0,1.8,2.2,1.3,1.8,1.3,1.3
Dusan,Kuciak,GLK,HUL,4000000,0,0,0.0,0.0,0.0,0,3894,0,0,0,0,0,0,0,0.0,144,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,6841,0,0,0,0,0,81,0,0,0,Man City,Everton,West Brom,Bournemouth,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,967,0,0,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,798,0,0,0,0,0,5,0,0,0,Watford,Arsenal,Swansea,West Ham,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Lafferty,DEF,BUR,4000000,0,0,0.0,0.0,0.0,0,20808,0,0,0,0,0,0,0,0.0,276,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,2985,0,0,0,0,0,19,0,0,0,Middlesbrough,Sunderland,Man City,Southampton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam,Lallana,MID,LIV,7400000,3,89,1.7450980392156898,2.35824059353471e-07,1.2027027027027001e-05,0,617531,1,17,0,0,0,6,0,12.0,13912,4,-1,89,-4,0.8,0,6.0,11,0,4,0,6,18.2,1094983,0,416,0,3,1040,118808,1,0,333,Stoke,Man City,Sunderland,Man Utd,Swansea,1.1,0.9,1.2,1.0,1.3,0.9,0.9,1.1,0.9,0.9,1.7,0.9,1.4,1.4,0.9,0.9,1.0,1.0,1.2,0.9,1.3
Rickie,Lambert,FWD,WBA,5400000,0,1,1.0,1.85185185185185e-07,1.85185185185185e-07,0,7908,0,0,0,0,0,0,0,0.2,46,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.1,1228,0,72,0,0,13,23,0,0,3,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik,Lamela,MID,TOT,6600000,0,28,0.549019607843137,8.3184789067142e-08,4.24242424242424e-06,0,521892,1,2,0,0,0,1,0,4.2,3037,-4,0,28,4,0.0,1,0.0,4,0,4,0,1,3.8,301947,0,519,0,0,595,108,0,0,93,Southampton,Watford,Chelsea,West Brom,Man City,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Manuel,Lanzini,MID,WHU,6400000,1,49,0.96078431372549,1.50122549019608e-07,7.65625e-06,0,23161,1,23,0,0,0,3,0,7.7,3129,-1,0,49,1,0.3,0,2.0,5,0,4,0,0,0.3,30646,0,381,0,1,1025,554,0,0,227,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sebastian,Larsson,MID,SUN,4700000,1,3,0.0588235294117647,1.25156445556946e-08,6.382978723404259e-07,0,895,1,3,0,0,0,0,0,0.6,34,-3,0,3,3,0.1,0,0.6,0,0,0,0,0,0.0,314,0,58,0,0,136,34,0,0,10,Man Utd,Burnley,Liverpool,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant,Leadbitter,MID,MID,4700000,0,3,0.0588235294117647,1.25156445556946e-08,6.382978723404259e-07,0,480,0,2,0,0,0,0,0,0.6,12,-3,0,3,3,0.0,0,0.2,0,0,0,0,0,0.0,207,0,0,0,0,65,9,0,0,14,Burnley,Man Utd,Leicester,Watford,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Ledley,MID,CRY,4500000,2,33,0.647058823529412,1.4379084967320302e-07,7.33333333333333e-06,0,29419,0,18,0,0,0,1,0,7.3,792,0,0,33,0,0.5,0,2.2,1,0,2,0,1,0.6,23483,0,121,0,0,892,526,0,0,162,Watford,Arsenal,Swansea,West Ham,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Lee Chung-yong,MID,CRY,4300000,0,20,0.3921568627450979,9.119927040583671e-08,4.65116279069767e-06,0,14256,0,7,0,0,0,0,0,4.7,339,-2,0,20,2,0.1,0,0.4,0,0,2,0,1,0.2,13211,0,56,0,0,366,166,0,0,84,Watford,Arsenal,Swansea,West Ham,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jonathan,Leko,MID,WBA,4200000,1,9,0.17647058823529396,4.20168067226891e-08,2.1428571428571398e-06,0,26426,0,2,0,0,0,0,0,2.1,1860,-3,0,9,3,0.0,0,0.2,0,0,0,0,1,0.5,29384,0,28,0,0,95,3429,0,0,33,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Brian,Lenihan,DEF,HUL,3900000,0,0,0.0,0.0,0.0,0,54351,0,0,0,0,0,0,0,0.0,2067,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.6,58567,0,0,0,0,0,1385,0,0,0,Man City,Everton,West Brom,Bournemouth,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Lennon,MID,EVE,5500000,2,15,0.294117647058824,5.3475935828877e-08,2.7272727272727298e-06,0,11865,0,5,0,0,0,0,0,2.7,154,-5,0,15,5,0.4,0,2.0,0,0,0,0,1,0.2,2136,0,278,0,0,344,302,0,0,74,Leicester,Hull City,Southampton,Man City,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jeremain,Lens,MID,SUN,5900000,0,2,1.0,1.6949152542372902e-07,3.3898305084745803e-07,0,2452,0,1,0,0,0,0,0,0.3,14,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,185,0,180,0,0,69,4,0,0,12,Man Utd,Burnley,Liverpool,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse,Lingard,MID,MUN,5600000,5,23,0.450980392156863,8.05322128851541e-08,4.10714285714286e-06,0,40395,1,7,0,0,0,0,0,4.1,477,-4,0,23,4,0.3,0,1.6,0,0,3,0,2,0.5,15393,0,318,0,0,515,4065,0,0,95,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jake,Livermore,MID,HUL,4800000,2,39,2.3,4.79166666666667e-07,8.125e-06,0,5390,3,35,0,0,0,1,0,8.1,297,-2,0,39,2,0.7,0,3.2,2,0,2,0,1,0.1,3913,0,0,0,0,1411,266,0,1,239,Man City,Everton,West Brom,Bournemouth,Chelsea,1.4,2.1,1.4,2.1,1.2,1.6,1.2,1.2,2.5,1.5,2.0,1.3,1.7,1.9,1.2,1.4,2.2,1.2,2.8,1.5,1.7
