FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1379,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,321,0,138,0,0,0,6,0,0,0,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,48,0.5714285714285711,1.07816711590296e-07,9.0566037735849e-06,0,521794,3,11,0,0,0,0,0,9.1,1585,-2,0,48,2,0.0,0,0.0,9,0,5,0,0,6.0,221703,0,0,0,0,1098,1609,0,0,291,Middlesbrough,West Brom,Everton,Sunderland,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Leighton,Baines,DEF,EVE,5700000,1,101,4.6,8.07017543859649e-07,1.7719298245614e-05,0,579487,2,20,0,0,0,2,0,17.7,58476,2,0,101,-2,0.5,1,2.7,13,0,8,0,3,11.5,699699,0,212,0,1,1919,2038,0,0,456,Hull City,Liverpool,Man Utd,Leicester,Burnley,0.0,5.1,4.0,5.9,6.5,5.4,6.2,4.7,5.9,5.3
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11858,0,0,0,0,0,0,0,0.0,20,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1948,0,0,0,0,0,15,0,0,0,Man City,Everton,Bournemouth,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,9,0.107142857142857,2.1865889212828003e-08,1.8367346938775502e-06,0,5503,0,2,0,0,0,0,0,1.8,144,-1,0,9,1,0.0,0,0.0,0,0,0,0,0,0.1,6771,0,0,0,0,84,40,0,0,26,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3653,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2593,0,0,0,0,0,2,0,0,0,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,29,0.345238095238095,8.02879291251384e-08,6.74418604651163e-06,0,10800,4,15,0,0,0,0,0,6.7,129,-2,0,29,2,0.4,0,1.7,0,0,3,0,0,0.1,8922,0,107,0,0,1078,206,0,0,177,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,9,110,4.2,5.91549295774648e-07,1.54929577464789e-05,0,712821,3,25,0,0,0,4,0,15.5,8337,-4,0,110,4,0.8,0,5.7,9,0,8,0,9,8.5,670211,0,654,0,2,2093,18205,0,0,411,Hull City,Liverpool,Man Utd,Leicester,Burnley,6.0,2.1,3.7,6.0,6.1,2.7,4.1,3.6,5.8,2.5
Ashley,Barnes,FWD,BUR,4500000,8,57,0.6785714285714279,1.50793650793651e-07,1.2666666666666699e-05,0,145096,3,17,0,0,0,5,0,12.7,4832,0,0,57,0,0.5,0,2.3,7,0,3,0,2,3.2,261028,0,0,0,1,1147,19686,0,1,173,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4
Antonio,Barragan,DEF,MID,4400000,0,57,2.9,6.59090909090909e-07,1.29545454545455e-05,0,97320,5,21,0,0,0,0,0,13.0,702,-1,0,57,1,0.0,0,0.0,8,0,5,0,0,0.7,103371,0,0,0,0,1721,370,0,0,355,Man Utd,Swansea,Hull City,Burnley,Arsenal,2.4,2.5,2.5,3.4,3.7,2.8,2.9,2.3,3.6,3.0
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,120897,1,23,0,0,0,0,0,6.8,425,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.7,111712,0,120,0,0,1145,8,0,0,136,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,2,58,2.4,5.454545454545451e-07,1.31818181818182e-05,0,367265,7,25,0,0,0,2,0,13.2,3772,-1,0,58,1,0.3,0,1.3,3,0,6,0,1,3.6,379626,0,418,0,0,1736,1866,0,0,309,Hull City,Liverpool,Man Utd,Leicester,Burnley,2.8,1.2,1.5,2.8,2.9,1.2,1.7,1.4,2.7,1.2
Joey,Barton,MID,BUR,4500000,1,24,0.28571428571428603,6.34920634920635e-08,5.333333333333329e-06,0,8752,2,9,0,0,0,1,0,5.3,1139,0,0,24,0,0.4,0,1.7,0,0,1,0,2,0.3,20982,0,0,0,0,565,347,0,0,121,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,0,28,0.33333333333333304,4.9751243781094504e-08,4.17910447761194e-06,0,9994,0,11,0,0,0,1,0,4.2,83,-3,0,28,3,0.0,0,0.0,1,0,1,0,2,0.0,6733,0,0,0,0,510,23,0,0,70,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Michy,Batshuayi,FWD,CHE,8500000,0,24,1.5,1.7647058823529398e-07,2.82352941176471e-06,0,129602,0,0,0,0,0,1,0,2.8,96,-5,0,24,5,0.0,0,0.0,1,0,0,0,1,0.9,60756,0,0,0,0,110,36,0,0,66,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.8,1.0,1.0,0.8,0.8,0.0,0.8,1.1,0.8,1.4
Asmir,Begovic,GLK,CHE,4700000,0,0,0.0,0.0,0.0,0,6369,0,0,0,0,0,0,0,0.0,45,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,1620,0,150,0,0,0,9,0,0,0,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
