FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Thibaut,Courtois,GLK,CHE,5400000,3,56,4.3,7.96296296296296e-07,1.03703703703704e-05,0,394080,0,11,0,33,0,0,0,10.4,8928,-1,0,56,1,1.0,0,5.3,2,0,6,0,0,13.1,207748,0,0,0,0,1170,30697,0,0,251,Swansea,Newcastle,West Ham,Huddersfield,Southampton,4.0,4.9,5.3,5.2,4.5,4.0,5.5,4.9,4.1,4.1,5.5,4.5,6.2,5.5,3.6,4.1,6.2,5.3,4.8,5.7,5.3,6.0,5.0,5.5,4.7,22.3
Philippe,Coutinho,MID,LIV,8800000,2,45,3.4615384615384603,3.93356643356643e-07,5.11363636363636e-06,0,725066,0,9,0,0,0,3,0,5.1,12440,-2,0,45,2,0.6,0,5.0,8,0,2,0,2,5.3,662080,0,0,0,2,570,21165,0,0,172,Stoke,Brighton,Everton,West Brom,Bournemouth,2.2,2.0,4.9,4.2,2.8,1.7,4.3,4.0,2.5,2.6,3.4,2.3,3.5,2.5,4.5,4.4,1.7,2.9,2.2,3.0,4.3,2.4,3.8,2.5,3.6,79.5
Martin,Cranie,DEF,HUD,4000000,0,2,0.153846153846154,3.84615384615385e-08,5e-07,0,10118,0,2,0,0,0,0,0,0.5,909,0,0,2,0,0.2,0,0.7,0,0,0,0,0,0.3,15702,0,0,0,0,89,1880,0,0,22,Arsenal,Everton,Brighton,Chelsea,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2
Aaron,Cresswell,DEF,WHU,5000000,2,33,2.8,5.6e-07,6.6e-06,0,57148,0,19,0,0,0,0,0,6.6,3676,0,0,33,0,0.2,0,1.0,3,0,3,0,1,0.8,65506,0,0,0,0,954,625,0,0,170,Everton,Man City,Chelsea,Arsenal,Stoke,1.5,1.6,2.6,3.6,2.2,3.1,2.0,2.2,3.5,2.2,2.9,4.2,2.4,2.9,1.8,2.1,2.9,3.1,2.8,2.3,3.1,1.6,2.2,1.7,2.6,41.3
Peter,Crouch,FWD,STK,4800000,1,24,1.84615384615385,3.84615384615385e-07,5e-06,0,137350,1,4,0,0,0,3,0,5.0,6778,-2,0,24,2,0.6,0,2.7,4,0,0,0,0,2.2,122640,0,0,0,0,193,18842,0,0,96,Liverpool,Swansea,Tottenham,Burnley,West Ham,1.6,1.2,0.9,1.1,1.8,1.8,1.0,1.0,1.6,0.9,1.7,1.1,1.2,1.6,1.2,1.2,1.2,2.0,0.9,1.1,1.2,1.2,0.9,2.3,1.2,30.9
Charlie,Daniels,DEF,BOU,4900000,6,51,3.9,7.959183673469391e-07,1.04081632653061e-05,0,541208,0,14,0,0,0,1,0,10.4,9004,-1,0,51,1,1.4,0,6.7,4,0,4,0,1,12.9,339900,0,0,0,0,1170,67505,0,0,248,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,4.4,4.3,4.6,2.7,5.2,3.2,5.4,4.0,4.4,5.3,4.2,4.3,4.6,4.2,4.6,3.4,4.5,5.1,5.1,5.8,3.5,4.6,4.2,3.9,4.3,53.3
,Danilo,DEF,MCI,5100000,0,24,1.84615384615385,3.6199095022624396e-07,4.7058823529411794e-06,0,296408,1,1,0,0,0,0,0,4.7,4247,-4,0,24,4,0.0,0,0.0,0,0,3,0,1,1.9,150230,0,0,0,0,334,665,0,0,102,Southampton,West Ham,Man Utd,Swansea,Tottenham,1.3,1.8,0.9,1.3,1.4,1.3,1.2,2.2,1.3,1.1,1.4,1.7,1.4,1.2,0.9,1.2,1.3,1.7,0.9,1.4,1.3,1.1,1.4,2.0,1.4,18.5
Scott,Dann,DEF,CRY,4700000,0,13,1.2,2.5531914893617e-07,2.7659574468085098e-06,0,53139,3,20,0,0,0,0,0,2.8,2882,-3,0,13,3,0.2,0,1.0,0,0,0,0,0,0.6,22517,0,0,0,0,990,545,0,0,131,Brighton,West Brom,Bournemouth,Watford,Leicester,0.6,0.6,0.8,0.8,0.6,0.6,1.1,0.6,0.6,0.8,0.6,0.6,0.9,0.6,0.8,0.9,0.6,0.6,1.0,0.6,1.0,0.7,0.7,0.6,1.0,45.0
Karl,Darlow,GLK,NEW,4400000,0,0,0.0,0.0,0.0,0,12268,0,0,0,0,0,0,0,0.0,157,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,783,0,0,0,0,0,17,0,0,0,West Brom,Chelsea,Leicester,Everton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matteo,Darmian,DEF,MUN,5100000,0,8,0.615384615384615,1.20663650075415e-07,1.56862745098039e-06,0,29705,0,2,0,0,0,0,0,1.6,397,-4,0,8,4,0.0,0,0.0,0,0,1,0,0,0.2,5656,0,0,0,0,181,136,0,0,42,Watford,Arsenal,Man City,Bournemouth,West Brom,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,4.2
,David Luiz,DEF,CHE,5800000,0,29,3.6,6.20689655172414e-07,5e-06,0,1020330,2,9,0,0,0,1,0,5.0,38496,-2,1,29,2,0.0,0,0.0,0,0,3,0,1,10.9,319931,0,0,0,0,716,2018,-1,1,165,Swansea,Newcastle,West Ham,Huddersfield,Southampton,0.0,0.0,0.0,0.0,0.0,3.0,4.3,3.8,3.1,3.2,4.3,3.4,4.9,4.3,2.7,3.1,5.2,4.2,3.7,4.5,4.1,4.7,3.9,4.3,3.7,26.3
,David Silva,MID,MCI,8300000,1,68,5.2,6.265060240963861e-07,8.19277108433735e-06,0,953431,2,8,0,0,0,1,0,8.1,114304,3,1,68,-3,0.5,0,4.0,8,0,7,0,8,19.0,1602453,0,0,0,2,1140,11263,-1,0,278,Southampton,West Ham,Man Utd,Swansea,Tottenham,5.7,7.0,3.9,7.1,5.5,6.6,6.1,5.5,4.6,4.2,6.9,6.5,6.0,6.3,4.6,5.1,5.5,5.7,6.6,6.1,5.3,6.7,5.8,7.1,6.0,126.7
Ben,Davies,DEF,TOT,5700000,2,55,4.23076923076923,7.42240215924427e-07,9.64912280701754e-06,0,923654,1,8,0,0,0,2,0,9.6,64220,2,0,55,-2,0.2,0,1.3,6,0,3,0,3,17.6,1419623,0,0,0,3,800,12183,0,0,220,Leicester,Watford,Stoke,Brighton,Man City,3.8,5.7,5.2,5.7,3.6,4.8,4.8,6.0,4.5,4.5,4.7,5.2,4.0,5.9,4.9,6.2,4.3,5.2,4.8,4.6,3.8,5.0,4.9,4.9,4.5,75.0
Tom,Davies,MID,EVE,5200000,0,19,1.6,3.07692307692308e-07,3.65384615384615e-06,0,56964,4,12,0,0,0,0,0,3.7,1375,-3,0,19,3,0.1,0,0.7,0,0,1,0,2,0.5,29590,0,0,0,0,572,137,0,0,70,West Ham,Huddersfield,Liverpool,Newcastle,Swansea,1.4,1.4,0.8,0.8,1.3,0.8,0.8,0.9,1.1,0.8,1.2,1.1,0.8,1.4,0.8,0.8,1.0,0.8,0.8,1.1,1.1,1.3,0.8,1.0,0.8,18.6
Steven,Davis,MID,SOU,5100000,7,53,4.1,8.039215686274509e-07,1.0392156862745098e-05,0,226613,0,12,0,0,0,3,0,10.4,15233,1,0,53,-1,0.7,0,3.7,6,0,4,0,1,4.6,429860,0,0,0,2,1044,16257,0,0,257,Man City,Bournemouth,Arsenal,Leicester,Chelsea,2.9,4.6,5.1,4.4,4.2,5.1,3.7,2.7,5.1,4.3,3.8,4.0,4.1,4.2,4.3,4.1,4.4,5.3,4.2,3.2,3.5,4.2,4.7,4.9,2.7,65.9
Craig,Dawson,DEF,WBA,4800000,0,27,3.0,6.25e-07,5.625e-06,0,283151,1,10,0,0,0,0,0,5.6,5844,-2,1,27,2,0.0,0,0.0,1,0,3,0,0,1.4,81128,0,0,0,0,810,11,-1,0,144,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,2.6,2.8,3.8,2.7,3.7,1.8,1.9,3.0,2.8,4.1,3.4,2.8,2.4,3.1,2.7,1.6,3.7,2.3,3.2,3.3,25.3
Kevin,De Bruyne,MID,MCI,10100000,2,74,5.7,5.64356435643564e-07,7.3267326732673294e-06,0,1150409,0,8,0,0,0,3,0,7.3,42336,1,0,74,-1,0.7,0,6.7,8,0,7,0,6,21.0,805493,0,0,0,1,1107,22592,0,0,316,Southampton,West Ham,Man Utd,Swansea,Tottenham,6.5,7.9,4.6,7.8,6.3,7.5,6.9,6.2,5.3,4.8,7.7,7.4,6.8,7.1,5.3,5.9,6.3,6.5,7.2,7.0,6.0,7.4,6.6,8.1,6.8,127.5
David,de Gea,GLK,MUN,5800000,6,74,5.7,9.827586206896548e-07,1.2758620689655198e-05,0,404942,0,6,0,39,0,0,0,12.8,17159,3,0,74,-3,0.7,0,4.3,5,0,9,0,0,42.1,729429,0,0,0,0,1170,23747,0,0,293,Watford,Arsenal,Man City,Bournemouth,West Brom,7.0,4.3,6.8,8.0,5.7,4.7,8.2,8.0,4.2,8.5,6.0,5.7,8.6,5.2,7.6,5.3,8.6,5.5,7.5,4.4,8.6,5.3,8.6,5.8,7.9,26.9
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9364,0,0,0,0,0,0,0,0.0,37,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,512,0,0,0,0,0,1,0,0,0,West Brom,Chelsea,Leicester,Everton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,150,0,0,0,0,0,0,0,0.0,68,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,323,0,0,0,0,0,73,0,0,0,Huddersfield,Man Utd,Southampton,West Ham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,0,18,2.3,3.6507936507936504e-07,2.8571428571428602e-06,0,50061,1,7,0,0,0,1,0,2.9,645,-2,0,18,2,0.0,0,0.0,1,0,0,0,1,0.4,25980,0,0,0,0,319,748,0,0,64,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,1.7,1.3,1.9,2.4,1.9,2.1,1.7,1.3,1.9,1.4,2.1,2.5,1.2,2.0,2.4,2.0,1.3,1.6,1.6,1.3,1.8,2.6,1.7,1.8,1.3,26.6
Jermain,Defoe,FWD,BOU,7600000,0,20,2.0,2.6315789473684203e-07,2.63157894736842e-06,0,184491,0,7,0,0,0,1,0,2.6,3080,-4,0,20,4,0.0,0,0.3,1,0,2,0,0,1.6,36312,0,0,0,0,505,60,0,0,65,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0.0,1.4,1.7,1.0,1.8,1.3,2.0,2.3,1.4,1.7,1.4,1.2,2.1,1.2,1.8,1.4,1.3,2.0,1.6,2.5,1.0,1.7,1.4,1.3,1.2,28.9
Steven,Defour,MID,BUR,5500000,2,33,2.5,4.54545454545455e-07,6e-06,0,19793,3,8,0,0,0,0,0,6.0,426,0,0,33,0,0.5,0,2.8,0,0,7,0,1,0.3,16258,0,0,0,0,1096,176,0,0,175,Bournemouth,Leicester,Watford,Stoke,Brighton,2.2,1.9,1.4,1.9,1.6,1.8,1.2,1.8,2.0,1.8,2.0,2.0,1.2,2.6,1.8,2.8,1.9,1.6,1.9,2.0,2.1,1.8,1.8,1.4,2.3,40.0
Damien,Delaney,DEF,CRY,4200000,0,0,0.0,0.0,0.0,0,18922,0,4,0,0,0,0,0,0.0,341,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.3,2677,0,0,0,0,90,135,0,0,19,Brighton,West Brom,Bournemouth,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Fabian,Delph,MID,MCI,4500000,2,26,2.0,4.44444444444444e-07,5.7777777777777805e-06,0,50810,0,6,0,0,0,1,0,5.8,4064,0,0,26,0,0.5,0,2.3,0,0,3,0,1,1.0,82547,0,0,0,0,650,3745,0,0,165,Southampton,West Ham,Man Utd,Swansea,Tottenham,1.3,1.8,1.0,1.8,1.2,1.6,1.4,1.2,1.0,1.0,1.7,1.6,1.4,1.5,1.0,1.1,1.2,1.3,1.7,1.4,1.1,1.7,1.3,1.8,1.4,27.1
Mousa,Dembele,MID,TOT,4900000,1,13,1.0,2.04081632653061e-07,2.6530612244897998e-06,0,143106,0,6,0,0,0,0,0,2.7,1760,-1,0,13,1,0.3,0,1.3,0,0,1,0,0,1.6,68272,0,0,0,0,451,640,0,0,98,Leicester,Watford,Stoke,Brighton,Man City,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.2
Laurent,Depoitre,FWD,HUD,5200000,2,33,3.3,6.346153846153849e-07,6.34615384615385e-06,0,31502,0,16,0,0,0,2,0,6.3,2259,-3,0,33,3,0.4,0,2.0,6,0,3,0,0,0.6,48989,0,0,0,0,796,4144,0,0,98,Arsenal,Everton,Brighton,Chelsea,Watford,1.6,3.2,4.1,2.7,2.9,2.6,4.5,3.3,2.6,4.4,3.2,4.2,1.6,3.8,2.8,2.0,3.4,4.9,2.5,2.6,3.1,2.2,4.8,2.3,4.1,38.3
Mohamed,Diame,MID,NEW,4700000,2,11,0.8461538461538459,1.80032733224223e-07,2.34042553191489e-06,0,11483,0,4,0,0,0,0,0,2.3,222,-3,0,11,3,0.3,0,1.3,0,0,0,0,0,0.1,2502,0,0,0,0,235,65,0,0,46,West Brom,Chelsea,Leicester,Everton,Arsenal,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,12.2
